Run_ID,Timestamp,Subset_Accuracy,Hamming_Loss,Precision,Recall,F1_Score
Run_1,2025-04-23 23:40:03,0.9506666666666667,0.006166666666666667,0.985938521909745,0.9663461538461539,0.9760440271932664
Run_2,2025-04-23 23:41:25,0.9533333333333334,0.005833333333333334,0.9898360655737705,0.965153452685422,0.9773389446422791
Run_3,2025-04-23 23:42:45,0.9566666666666667,0.005416666666666667,0.9907894736842106,0.9672447013487476,0.9788755281117972
Run_4,2025-04-23 23:53:56,0.953,0.005875,0.9927631578947368,0.9620656678355116,0.9771733851384167
Run_5,2025-04-23 23:57:26,0.958,0.00525,0.992748846407383,0.9666238767650834,0.9795121951219512
Run_6,2025-04-24 07:18:52,0.9523333333333334,0.005958333333333334,0.9856349983676135,0.9682488774855676,0.9768645850186054
Run_7,2025-04-24 07:24:24,0.95,0.00625,0.9872256796593515,0.96448,0.9757202978310133
Run_8,2025-04-24 07:26:34,0.949,0.006375,0.9752888318356868,0.9756019261637239,0.9754453538757824
Run_9,2025-04-24 07:27:53,0.953,0.005875,0.9901477832512315,0.9644913627639156,0.9771511910549344
Run_10,2025-04-24 07:29:27,0.95,0.00625,0.9824732229795521,0.9692603266090298,0.9758220502901354
Run_11,2025-04-24 07:30:51,0.93,0.00875,0.9510835913312693,0.9833546734955185,0.9669499527856469
Run_12,2025-04-24 07:32:08,0.96,0.005,0.9986688851913478,0.9627847289059993,0.9803985625612545
Run_13,2025-04-24 07:33:47,0.9196666666666666,0.010041666666666667,0.9380880121396055,0.9881713554987213,0.9624785925579947
Run_14,2025-04-24 07:35:08,0.931,0.008625,0.9519826517967782,0.98336,0.967416968361404
Run_15,2025-04-24 07:40:01,0.9573333333333334,0.005333333333333333,0.9937169312169312,0.9649967886962106,0.9791463017269468
Run_16,2025-04-24 09:06:44,0.9693333333333334,0.003833333333333333,1.0,0.9702457956015524,0.9848982271831911
Run_17,2025-04-24 09:09:59,0.9613333333333334,0.004833333333333334,0.9996669996669997,0.9631055502085338,0.9810457516339869
Run_18,2025-04-24 09:12:02,0.9553333333333334,0.005583333333333333,0.9843851659076123,0.9723650385604113,0.9783381829938571
Run_19,2025-04-24 09:15:08,0.9373333333333334,0.007833333333333333,0.971126082771896,0.96864,0.9698814482537648
Run_20,2025-04-24 09:18:08,0.959,0.005125,0.9996667777407531,0.9609224855861627,0.9799118079372856
Run_21,2025-04-24 09:23:14,0.9683333333333334,0.003958333333333334,1.0,0.9693053311793215,0.9844134536505332
Run_22,2025-04-24 09:26:07,0.9513333333333334,0.006083333333333333,0.996025173898642,0.9573384272524673,0.9762987012987013
Run_23,2025-04-24 09:31:25,0.9556666666666667,0.005541666666666667,0.9920870425321464,0.9650416933932008,0.978377499593562
Run_24,2025-04-24 09:33:42,0.9043333333333333,0.011958333333333333,0.9165929855585028,0.9987154784842646,0.9558936529890887
Run_25,2025-04-24 10:12:13,0.9533333333333334,0.005833333333333334,0.9898327320432929,0.9651423089222897,0.9773316062176166
Run_26,2025-04-24 10:14:47,0.9516666666666667,0.0060416666666666665,0.9956939383901954,0.9579349904397706,0.9764495695955823
Run_27,2025-04-24 10:17:16,0.958,0.00525,0.9953627028817489,0.9640680141161373,0.9794654498044328
Run_28,2025-04-24 10:21:08,0.9216666666666666,0.009791666666666667,0.9319891664158892,0.9971023824855119,0.9634468813190232
